company_name,job_title,job_type,Department,Location,Posted_Time,Salary_range
Blossom VA Services,TikTok Poster,Marketing & Communications,Marketing & Communications,Lagos,Today,"NGN 150,000 - 250,000"
Ibat Travels and Tour,Graphics & Brand Manager,Creative & Design,Creative & Design,Lagos,1 week ,"NGN 150,000 - 250,000"
Iwule Limited,Business Development Lead,Management & Business Development,Management & Business Development,Lagos,1 week ,"NGN 250,000 - 400,000"
Anonymous Employer,Campus Ambassador,Marketing & Communications,Marketing & Communications,Rest of Nigeria (Nationwide),1 week ,"NGN 70,000 - 150,000"
Stock Stream Solutions Nig Ltd,Accountant,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Abuja,2 weeks ,"NGN 70,000 - 150,000"
Odixcity Consulting,Flutter Developer,Software & Data,Software & Data,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Next Js Developer,Software & Data,Software & Data,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Vue Js Developer,Software & Data,Software & Data,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,AI Engineer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,PHP Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Full Stack Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Front-End Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Back-End Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Cloud Engineer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Shopify Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Word Press Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Blossom VA Services,TikTok Poster,Marketing & Communications,Marketing & Communications,Lagos,Today,"NGN 150,000 - 250,000"
Ibat Travels and Tour,Graphics & Brand Manager,Creative & Design,Creative & Design,Lagos,1 week ,"NGN 150,000 - 250,000"
Iwule Limited,Business Development Lead,Management & Business Development,Management & Business Development,Lagos,1 week ,"NGN 250,000 - 400,000"
Anonymous Employer,Campus Ambassador,Marketing & Communications,Marketing & Communications,Rest of Nigeria (Nationwide),1 week ,"NGN 70,000 - 150,000"
Stock Stream Solutions Nig Ltd,Accountant,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Abuja,2 weeks ,"NGN 70,000 - 150,000"
Odixcity Consulting,Flutter Developer,Software & Data,Software & Data,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Next Js Developer,Software & Data,Software & Data,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Vue Js Developer,Software & Data,Software & Data,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,AI Engineer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,PHP Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Full Stack Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Front-End Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Back-End Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Cloud Engineer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
Odixcity Consulting,Shopify Developer,Engineering & Technology,Engineering & Technology,Remote (Work From Home),Today,"NGN 400,000 - 600,000"
